split,client_id,sample_id,x1,x2,label
train,client-alpha,client-alpha-0001,0.21008325,-0.26522915,1
train,client-alpha,client-alpha-0002,0.24105143,0.17839824,0
train,client-alpha,client-alpha-0003,-2.08032127,1.05574964,0
train,client-alpha,client-alpha-0004,-3.24497367,-0.86376231,0
train,client-alpha,client-alpha-0005,-0.43342771,-1.30101287,0
train,client-alpha,client-alpha-0006,-1.81218149,1.32690241,0
train,client-alpha,client-alpha-0007,0.74282346,-0.13685464,1
train,client-alpha,client-alpha-0008,-2.33863032,-0.57453211,0
train,client-alpha,client-alpha-0009,-1.79216866,0.07837922,0
train,client-alpha,client-alpha-0010,0.55356457,-0.36290599,1
train,client-alpha,client-alpha-0011,-0.92346233,0.73995152,1
train,client-alpha,client-alpha-0012,-0.44599495,-1.06087966,1
train,client-alpha,client-alpha-0013,-0.33603977,-0.40936771,1
train,client-alpha,client-alpha-0014,-0.59493313,1.28625536,0
train,client-alpha,client-alpha-0015,-1.00790492,1.2876969,0
train,client-alpha,client-alpha-0016,-1.6347497,0.9923625,1
train,client-alpha,client-alpha-0017,-1.3368122,-1.4435168,0
train,client-alpha,client-alpha-0018,-0.9365541,0.10492227,0
train,client-alpha,client-alpha-0019,0.15165281,-0.64099395,1
train,client-alpha,client-alpha-0020,0.27105989,0.56140152,0
train,client-alpha,client-alpha-0021,-2.63088794,-0.26413995,0
train,client-alpha,client-alpha-0022,-0.0513085,-0.69548312,0
train,client-alpha,client-alpha-0023,-2.77906746,0.09238562,0
train,client-alpha,client-alpha-0024,-1.336697,0.21485982,0
train,client-alpha,client-alpha-0025,-1.46209126,0.848749,0
train,client-alpha,client-alpha-0026,-2.09927161,0.17510521,0
train,client-alpha,client-alpha-0027,0.43706507,0.77181466,0
train,client-alpha,client-alpha-0028,-1.11243816,-0.54804965,1
train,client-alpha,client-alpha-0029,-0.83277049,-0.72624137,1
train,client-alpha,client-alpha-0030,-0.83585727,2.01733905,0
train,client-alpha,client-alpha-0031,-0.45475489,0.98009151,0
train,client-alpha,client-alpha-0032,-1.77230392,-1.05470966,0
train,client-alpha,client-alpha-0033,-0.6526664,0.12788658,1
train,client-alpha,client-alpha-0034,1.0867875,1.40852982,0
train,client-alpha,client-alpha-0035,-2.11318865,2.79117032,0
train,client-alpha,client-alpha-0036,0.22986097,0.76752653,0
train,client-alpha,client-alpha-0037,-0.6174132,0.62423977,0
train,client-alpha,client-alpha-0038,-1.51449676,1.12890243,0
train,client-alpha,client-alpha-0039,-1.4985029,-0.29254709,0
train,client-alpha,client-alpha-0040,-1.4552475,0.17077624,0
train,client-alpha,client-alpha-0041,-0.95274812,-0.39182474,1
train,client-alpha,client-alpha-0042,0.81666733,0.16927549,0
train,client-alpha,client-alpha-0043,-0.81690801,-0.63991412,1
train,client-alpha,client-alpha-0044,-0.57816361,-0.02477034,1
train,client-alpha,client-alpha-0045,-1.70262214,1.67929881,0
train,client-alpha,client-alpha-0046,1.21772007,1.25165349,0
train,client-alpha,client-alpha-0047,0.52113873,1.22337176,0
train,client-alpha,client-alpha-0048,-0.99100039,0.29597543,0
train,client-alpha,client-alpha-0049,-0.3326581,-0.38180496,1
train,client-alpha,client-alpha-0050,-0.70821756,1.33179476,0
train,client-alpha,client-alpha-0051,-1.84607626,1.61978374,0
train,client-alpha,client-alpha-0052,-1.25493635,-0.10040802,0
train,client-alpha,client-alpha-0053,-0.04523876,0.24851833,1
train,client-alpha,client-alpha-0054,-0.21081461,2.49688788,0
train,client-alpha,client-alpha-0055,-0.36245931,1.30665933,0
train,client-alpha,client-alpha-0056,-1.23675605,0.64788628,0
train,client-alpha,client-alpha-0057,0.1849784,1.18525834,0
train,client-alpha,client-alpha-0058,-0.4301851,1.09081233,1
train,client-alpha,client-alpha-0059,-2.95505561,0.43978302,0
train,client-alpha,client-alpha-0060,-1.52978454,0.22567201,0
train,client-alpha,client-alpha-0061,-1.18377038,-0.68566935,1
train,client-alpha,client-alpha-0062,0.08858584,-0.11713245,1
train,client-alpha,client-alpha-0063,-1.83315417,0.7666201,0
train,client-alpha,client-alpha-0064,-1.75461298,1.03419955,0
train,client-alpha,client-alpha-0065,-2.35352109,-0.42375227,0
train,client-alpha,client-alpha-0066,-0.11484751,1.99131396,0
train,client-alpha,client-alpha-0067,-1.06375483,-0.80976832,0
train,client-alpha,client-alpha-0068,-0.24845502,0.83451558,0
train,client-alpha,client-alpha-0069,-1.02554398,-0.26296449,0
train,client-alpha,client-alpha-0070,-0.77537871,2.1758559,0
train,client-alpha,client-alpha-0071,-1.57188695,0.97515033,0
train,client-alpha,client-alpha-0072,-0.65110639,0.88349141,0
train,client-alpha,client-alpha-0073,-0.0252503,-1.64767691,1
train,client-alpha,client-alpha-0074,-0.45514039,0.424327,1
train,client-alpha,client-alpha-0075,-0.48964904,-0.63851987,1
train,client-alpha,client-alpha-0076,-0.91769921,2.37198804,0
train,client-alpha,client-alpha-0077,-1.50461573,1.58516527,0
train,client-alpha,client-alpha-0078,-2.46992348,-0.97630704,1
train,client-alpha,client-alpha-0079,0.04175038,0.008276,0
train,client-alpha,client-alpha-0080,0.32662864,0.32067269,0
train,client-alpha,client-alpha-0081,-2.5522937,0.85228049,0
train,client-alpha,client-alpha-0082,-2.06677236,-0.72778924,0
train,client-alpha,client-alpha-0083,0.11340376,-1.21475526,1
train,client-alpha,client-alpha-0084,-0.46995812,1.89792462,0
train,client-alpha,client-alpha-0085,-0.23497634,0.4957507,0
train,client-alpha,client-alpha-0086,-2.06144708,-0.81702956,1
train,client-alpha,client-alpha-0087,-1.20900666,-0.68918088,0
train,client-alpha,client-alpha-0088,-1.23106446,-1.48082869,1
train,client-alpha,client-alpha-0089,-1.72893553,-0.64791523,0
train,client-alpha,client-alpha-0090,-0.8899413,1.3972383,0
train,client-alpha,client-alpha-0091,-0.5533939,-0.94926596,1
train,client-alpha,client-alpha-0092,-0.87134422,-0.21156386,1
train,client-alpha,client-alpha-0093,-1.28750592,-0.72951892,1
train,client-alpha,client-alpha-0094,-0.47879076,1.16551943,0
train,client-alpha,client-alpha-0095,-0.17643893,1.01757325,0
train,client-alpha,client-alpha-0096,1.18408554,1.29270904,1
train,client-alpha,client-alpha-0097,-1.60834746,1.02866319,0
train,client-alpha,client-alpha-0098,-0.82365318,0.46616532,0
train,client-alpha,client-alpha-0099,-0.69604149,0.73050653,0
train,client-alpha,client-alpha-0100,-0.57116423,1.6967734,0
train,client-alpha,client-alpha-0101,-1.55509886,-0.05100266,0
train,client-alpha,client-alpha-0102,-0.91255835,-1.03413284,1
train,client-alpha,client-alpha-0103,0.12325402,3.51985248,0
train,client-alpha,client-alpha-0104,1.0755827,0.9616093,0
train,client-alpha,client-alpha-0105,-0.6597245,0.42003264,0
train,client-alpha,client-alpha-0106,-0.82672093,1.45602333,0
train,client-alpha,client-alpha-0107,-0.14404734,-0.41866188,1
train,client-alpha,client-alpha-0108,-0.46085503,1.0908384,0
train,client-alpha,client-alpha-0109,-1.40845643,1.56136425,0
train,client-alpha,client-alpha-0110,-1.79078114,2.14719225,0
train,client-alpha,client-alpha-0111,-1.8428041,0.3959045,0
train,client-alpha,client-alpha-0112,-0.02309745,0.09562718,1
train,client-alpha,client-alpha-0113,-0.54012714,-1.93917204,1
train,client-alpha,client-alpha-0114,0.23143243,-0.08727667,0
train,client-alpha,client-alpha-0115,-1.13730304,0.27199158,0
train,client-alpha,client-alpha-0116,-1.67192252,-1.07619008,1
train,client-alpha,client-alpha-0117,-0.33998492,-0.11309364,0
