sample_id,radar_activity,communication_intensity,movement_consistency,weapon_signature,proximity_score,intent_label
surveillance-0090,0.947944,0.345728,0.67843,0.43885,0.638104,surveillance
benign-0095,0.187607,0.214345,0.71127,0.182818,0.145011,benign
benign-0144,0.396541,0.0,0.695512,0.253285,0.13387,benign
benign-0104,0.557689,0.417861,0.728301,0.154886,0.475078,benign
surveillance-0164,0.55467,0.440977,0.608496,0.185293,0.285994,surveillance
benign-0077,0.280816,0.240563,0.787528,0.395018,0.349215,benign
hostile-0004,0.919595,0.559473,0.520967,0.924664,0.819796,hostile
benign-0098,0.285424,0.0,0.863552,0.007346,0.045713,benign
benign-0059,0.272226,0.089928,0.793308,0.201311,0.509781,benign
hostile-0152,0.866597,0.543355,0.687653,0.700459,0.669173,hostile
surveillance-0180,1.0,1.0,0.627661,0.111909,0.624107,surveillance
benign-0033,0.32282,0.306133,0.896997,0.3175,0.014429,benign
surveillance-0032,0.598078,0.826491,0.640919,0.691247,0.315048,surveillance
hostile-0079,0.692585,0.685537,0.416823,0.813565,0.526763,hostile
surveillance-0172,0.497062,0.499307,0.946595,0.196415,0.592173,surveillance
hostile-0147,0.713397,0.685619,0.37981,0.651195,0.71741,hostile
surveillance-0126,1.0,0.730035,0.522309,0.454121,0.462956,surveillance
surveillance-0175,0.886838,0.217088,0.771873,0.183225,0.729544,surveillance
surveillance-0112,0.686898,0.765934,0.674371,0.154008,0.577687,surveillance
surveillance-0165,0.584809,0.491958,0.612789,0.273851,0.496387,surveillance
benign-0062,0.216244,0.149035,0.596818,0.307527,0.319629,benign
benign-0165,0.462755,0.512644,0.494048,0.156417,0.0,benign
hostile-0137,0.503064,0.67227,0.518101,0.987858,0.879288,hostile
surveillance-0043,1.0,0.433463,0.670241,0.357646,0.293512,surveillance
benign-0071,0.197571,0.121802,0.742978,0.364078,0.0,benign
surveillance-0033,0.518267,0.689999,0.479858,0.170202,0.433524,surveillance
surveillance-0018,0.620682,0.713924,0.492913,0.088374,0.475633,surveillance
surveillance-0001,0.289108,0.226488,0.738954,0.440744,0.229273,surveillance
hostile-0009,0.74552,0.730401,0.37841,0.691236,0.588124,hostile
benign-0037,0.160321,0.338244,0.789053,0.035625,0.364183,benign
benign-0179,0.09755,0.541237,0.737748,0.160416,0.058454,benign
hostile-0179,0.564415,0.544579,0.512338,0.664516,0.790311,hostile
hostile-0123,0.903794,0.954436,0.440851,0.55312,0.724707,hostile
hostile-0047,1.0,0.710884,0.515122,0.724323,0.941719,hostile
surveillance-0082,0.76824,0.808979,0.819807,0.343376,0.796113,surveillance
hostile-0070,0.810617,0.750275,0.660678,0.67354,0.851138,hostile
hostile-0050,0.892003,0.721737,0.576737,0.70185,0.768742,hostile
benign-0132,0.092724,0.22916,0.792773,0.276084,0.102979,benign
benign-0161,0.221166,0.208961,0.810775,0.263219,0.076711,benign
benign-0113,0.185796,0.262883,0.612137,0.08831,0.328396,benign
surveillance-0025,0.746869,0.386743,0.706071,0.317392,0.391588,surveillance
benign-0109,0.291629,0.451321,0.878152,0.0,0.241315,benign
surveillance-0094,0.512898,0.38343,0.677272,0.248419,0.521594,surveillance
surveillance-0024,0.763439,0.49513,0.531809,0.396383,0.63152,surveillance
hostile-0102,0.912775,0.706402,0.509335,0.775216,0.805953,hostile
surveillance-0011,0.424515,0.59054,0.786025,0.303736,0.516197,surveillance
hostile-0001,0.882435,0.91977,0.261329,0.609133,0.630825,hostile
hostile-0042,0.798465,0.648636,0.57691,0.720759,0.582379,hostile
surveillance-0152,0.729913,0.96307,0.721047,0.260545,0.42166,surveillance
benign-0125,0.273095,0.109323,0.843143,0.108387,0.43781,benign
hostile-0103,0.817055,0.475648,0.41605,1.0,0.670598,hostile
hostile-0011,0.925628,0.514067,0.271435,0.773122,0.550555,hostile
hostile-0065,1.0,0.508423,0.616631,0.637342,0.594025,hostile
surveillance-0076,0.634159,0.699515,0.420689,0.409716,0.712018,surveillance
surveillance-0139,0.692931,0.798593,0.878929,0.425206,0.704798,surveillance
benign-0042,0.366534,0.516813,0.692026,0.255621,0.13445,benign
benign-0087,0.199883,0.373138,0.706194,0.202686,0.128656,benign
surveillance-0058,0.773584,0.485176,0.481861,0.182529,0.178898,surveillance
benign-0048,0.0,0.21852,0.559102,0.109216,0.182503,benign
hostile-0045,1.0,0.858695,0.654583,0.652026,0.703196,hostile
surveillance-0124,0.541082,0.422666,0.673162,0.200786,0.646424,surveillance
hostile-0170,1.0,0.859974,0.253911,0.948556,0.774519,hostile
hostile-0148,0.669619,0.813373,0.646032,0.828168,0.582431,hostile
benign-0047,0.581988,0.390871,0.873019,0.0,0.141211,benign
benign-0141,0.178355,0.661418,0.74838,0.043713,0.386389,benign
