sample_id,threat_score,distance_km,speed_mps,asset_value,intel_confidence,priority_label
reference-0001,0.862201,70.876333,424.897782,0.85726,0.643426,high
reference-0002,0.740608,108.01682,361.513705,0.147231,0.913408,medium
reference-0003,0.490625,49.861676,356.575631,0.399335,0.531164,medium
reference-0004,0.145324,27.517928,408.028698,0.839237,0.818048,medium
reference-0005,0.945836,88.214412,184.995855,0.144503,0.638994,medium
reference-0006,0.538568,117.108614,301.709706,0.313271,0.811576,medium
reference-0007,0.084424,6.453046,267.818103,0.399648,0.763749,medium
reference-0008,0.426825,84.725373,162.785036,0.029216,0.619648,low
reference-0009,0.552195,89.225892,294.890513,0.086006,0.96344,medium
reference-0010,0.10598,21.495372,358.952262,0.152566,0.530909,low
reference-0011,0.228137,128.05789,103.864265,0.760196,0.758585,low
reference-0012,0.222245,83.482102,17.851889,0.468755,0.984811,low
reference-0013,0.27692,36.723207,281.69654,0.144458,0.842501,medium
reference-0014,0.306866,113.224794,56.075293,0.904228,0.749561,low
reference-0015,0.727944,89.002597,321.621961,0.363194,0.837313,medium
reference-0016,0.34999,123.953888,36.099013,0.878854,0.762516,low
reference-0017,0.815286,17.902356,28.24487,0.64375,0.649271,high
reference-0018,0.168804,49.438809,129.545533,0.050163,0.866508,low
reference-0019,0.35022,80.647175,394.666632,0.506173,0.780866,medium
reference-0020,0.704314,130.548961,123.606251,0.138036,0.81702,medium
reference-0021,0.505609,148.328944,40.675215,0.817851,0.663875,low
reference-0022,0.878831,38.169294,246.481615,0.898814,0.614644,high
reference-0023,0.38253,132.264621,166.511608,0.993781,0.843964,medium
reference-0024,0.299473,50.15246,217.363799,0.780662,0.595977,medium
reference-0025,0.941203,61.456501,31.266108,0.497985,0.858824,high
reference-0026,0.684154,11.921827,205.855679,0.835929,0.949118,high
reference-0027,0.406477,138.557267,58.645104,0.396206,0.996148,low
reference-0028,0.63145,115.881751,1.1234,0.829017,0.525803,medium
reference-0029,0.916346,27.05846,375.685167,0.370731,0.527513,high
reference-0030,0.825998,90.530376,206.462464,0.521667,0.679776,medium
reference-0031,0.796304,133.23714,203.786087,0.669648,0.784022,medium
reference-0032,0.675846,6.428197,60.477752,0.684391,0.710798,high
reference-0033,0.681592,117.780674,137.112146,0.349269,0.678938,medium
reference-0034,0.698779,57.512026,155.194931,0.395141,0.766385,medium
reference-0035,0.746025,91.496131,185.624041,0.689413,0.917418,medium
reference-0036,0.179899,134.249701,433.718452,0.57436,0.558671,low
reference-0037,0.273452,38.659407,210.888466,0.495462,0.748983,medium
reference-0038,0.582797,89.080697,71.627524,0.65252,0.876048,medium
reference-0039,0.501652,49.482602,381.822612,0.029114,0.605991,medium
reference-0040,0.683588,118.170053,102.103665,0.212773,0.895494,medium
reference-0041,0.446672,45.230364,7.754396,0.694804,0.901538,medium
reference-0042,0.846879,111.213238,171.475701,0.793026,0.658043,medium
reference-0043,0.091431,26.922386,245.810618,0.222708,0.920069,low
reference-0044,0.97885,22.805909,182.090115,0.464595,0.937147,high
reference-0045,0.195269,136.710852,51.993449,0.557085,0.703055,low
reference-0046,0.06735,44.42652,292.344234,0.191165,0.922796,low
reference-0047,0.247012,119.636964,262.743199,0.817746,0.840328,low
reference-0048,0.701143,106.040762,129.773091,0.262205,0.967963,medium
reference-0049,0.494245,23.990107,217.840405,0.731615,0.942996,medium
reference-0050,0.821371,130.423255,371.618224,0.898696,0.533126,high
reference-0051,0.629403,62.939895,171.096062,0.491929,0.686037,medium
reference-0052,0.571799,2.936804,274.105088,0.489566,0.590634,medium
