sample_id,blocking_violation_count,warning_violation_count,authorization_status_score,authorization_out_of_scope,rag_evidence_count,law_of_war_rule_hit,label
compliance-reference-0001,1.0,3.0,0.914463,0.0,2.0,1.0,1
compliance-reference-0002,0.0,4.0,0.121721,1.0,0.0,0.0,0
compliance-reference-0003,1.0,3.0,0.915326,1.0,4.0,1.0,1
compliance-reference-0004,0.0,2.0,0.734298,1.0,3.0,0.0,1
compliance-reference-0005,2.0,1.0,0.443875,1.0,3.0,1.0,1
compliance-reference-0006,1.0,1.0,0.83837,0.0,1.0,1.0,1
compliance-reference-0007,2.0,0.0,0.032904,1.0,5.0,0.0,1
compliance-reference-0008,0.0,4.0,0.166275,0.0,0.0,1.0,0
compliance-reference-0009,2.0,2.0,0.269398,0.0,4.0,0.0,1
compliance-reference-0010,1.0,1.0,0.963655,0.0,0.0,0.0,0
compliance-reference-0011,0.0,0.0,0.351477,0.0,0.0,0.0,0
compliance-reference-0012,0.0,4.0,0.206725,0.0,2.0,1.0,0
compliance-reference-0013,0.0,2.0,0.909762,0.0,0.0,0.0,0
compliance-reference-0014,0.0,2.0,0.992123,0.0,0.0,0.0,0
compliance-reference-0015,1.0,3.0,0.869469,0.0,4.0,0.0,1
compliance-reference-0016,0.0,0.0,0.573389,1.0,2.0,1.0,0
compliance-reference-0017,0.0,1.0,0.319341,1.0,5.0,0.0,0
compliance-reference-0018,0.0,1.0,0.055322,1.0,4.0,0.0,0
compliance-reference-0019,0.0,3.0,0.948119,0.0,5.0,0.0,0
compliance-reference-0020,0.0,3.0,0.580515,0.0,3.0,1.0,0
compliance-reference-0021,2.0,0.0,0.621725,0.0,1.0,1.0,1
compliance-reference-0022,1.0,2.0,0.419674,0.0,4.0,1.0,1
compliance-reference-0023,0.0,0.0,0.0264,0.0,0.0,0.0,0
compliance-reference-0024,1.0,3.0,0.150759,0.0,2.0,0.0,0
compliance-reference-0025,1.0,1.0,0.570204,0.0,3.0,0.0,0
compliance-reference-0026,1.0,4.0,0.49159,1.0,3.0,0.0,1
compliance-reference-0027,1.0,1.0,0.389148,0.0,5.0,1.0,1
compliance-reference-0028,2.0,4.0,0.500173,0.0,4.0,0.0,1
compliance-reference-0029,1.0,0.0,0.855402,1.0,2.0,0.0,1
compliance-reference-0030,1.0,4.0,0.076386,0.0,2.0,0.0,0
compliance-reference-0031,2.0,2.0,0.502809,0.0,4.0,0.0,1
compliance-reference-0032,1.0,2.0,0.368983,1.0,5.0,1.0,1
compliance-reference-0033,0.0,1.0,0.277616,1.0,0.0,0.0,0
compliance-reference-0034,0.0,3.0,0.764288,0.0,4.0,0.0,0
compliance-reference-0035,0.0,0.0,0.897292,0.0,5.0,1.0,0
compliance-reference-0036,1.0,0.0,0.44617,0.0,1.0,0.0,0
compliance-reference-0037,2.0,1.0,0.100546,0.0,0.0,1.0,1
compliance-reference-0038,1.0,1.0,0.194203,0.0,4.0,0.0,0
compliance-reference-0039,2.0,1.0,0.746611,0.0,3.0,0.0,1
compliance-reference-0040,1.0,2.0,0.273487,0.0,0.0,0.0,1
compliance-reference-0041,1.0,4.0,0.775299,1.0,0.0,1.0,1
compliance-reference-0042,2.0,2.0,0.891916,0.0,4.0,1.0,1
compliance-reference-0043,2.0,1.0,0.115239,0.0,4.0,1.0,1
compliance-reference-0044,1.0,0.0,0.726226,1.0,5.0,1.0,1
compliance-reference-0045,1.0,2.0,0.737217,0.0,4.0,0.0,1
compliance-reference-0046,0.0,2.0,0.160471,0.0,2.0,1.0,0
compliance-reference-0047,1.0,2.0,0.164726,0.0,4.0,0.0,1
compliance-reference-0048,1.0,1.0,0.418193,1.0,3.0,0.0,1
compliance-reference-0049,1.0,4.0,0.412726,1.0,1.0,0.0,1
compliance-reference-0050,0.0,0.0,0.155585,0.0,0.0,0.0,0
compliance-reference-0051,2.0,2.0,0.152134,0.0,1.0,0.0,1
compliance-reference-0052,0.0,1.0,0.06995,0.0,1.0,0.0,0
compliance-reference-0053,0.0,0.0,0.135805,0.0,1.0,1.0,0
compliance-reference-0054,0.0,0.0,0.821673,0.0,1.0,1.0,0
compliance-reference-0055,1.0,0.0,0.161183,0.0,3.0,0.0,0
compliance-reference-0056,2.0,0.0,0.713917,0.0,1.0,0.0,1
