sample_id,coverage,risk_alignment,resource_efficiency,constraint_fit,authorization,lstm_trend,priority,objective_fit,label
decision-reference-0001,0.334064,0.613462,0.898702,0.215247,1.0,0.304944,0.611308,0.49249,0
decision-reference-0002,0.561467,0.249983,0.103967,0.007863,1.0,0.940146,0.707777,0.808097,1
decision-reference-0003,0.752636,0.208308,0.602943,0.920154,1.0,0.413063,0.670437,0.230103,1
decision-reference-0004,0.023486,0.891173,0.230059,0.298302,1.0,0.032184,0.586014,0.094489,0
decision-reference-0005,0.23104,0.474833,0.836907,0.463814,0.0,0.918799,0.778206,0.379421,1
decision-reference-0006,0.067059,0.256042,0.962251,0.852557,0.0,0.742688,0.73653,0.024789,0
decision-reference-0007,0.237283,0.496645,0.898018,0.188324,1.0,0.433351,0.708399,0.147472,0
decision-reference-0008,0.269199,0.973585,0.207811,0.472588,1.0,0.325916,0.132227,0.620053,1
decision-reference-0009,0.838222,0.681784,0.821653,0.410071,1.0,0.602608,0.400342,0.856712,1
decision-reference-0010,0.38282,0.446106,0.429468,0.79128,1.0,0.183458,0.821512,0.510344,1
decision-reference-0011,0.437948,0.279405,0.999037,0.695664,1.0,0.668317,0.750377,0.362142,1
decision-reference-0012,0.170032,0.071149,0.376179,0.622303,1.0,0.115977,0.484217,0.184629,0
decision-reference-0013,0.026264,0.507956,0.824301,0.499464,1.0,0.339139,0.188606,0.24686,0
decision-reference-0014,0.555841,0.8016,0.914172,0.073078,1.0,0.434727,0.136765,0.845708,1
decision-reference-0015,0.804918,0.696602,0.377166,0.063791,1.0,0.786712,0.393319,0.507789,1
decision-reference-0016,0.662383,0.187184,0.660298,0.143959,0.0,0.047443,0.221927,0.551542,0
decision-reference-0017,0.00706,0.255619,0.147357,0.782466,1.0,0.617358,0.053875,0.444354,0
decision-reference-0018,0.271637,0.548028,0.1577,0.201802,1.0,0.10825,0.590393,0.31624,0
decision-reference-0019,0.387255,0.051925,0.795315,0.389289,1.0,0.206559,0.114157,0.286032,0
decision-reference-0020,0.453473,0.355879,0.38267,0.143448,1.0,0.250704,0.727158,0.144336,0
decision-reference-0021,0.405429,0.716353,0.160062,0.612324,1.0,0.626292,0.947299,0.555663,1
decision-reference-0022,0.600198,0.120351,0.975667,0.075243,0.0,0.365889,0.947229,0.851774,0
decision-reference-0023,0.161515,0.935645,0.904415,0.045892,1.0,0.34974,0.50194,0.946161,1
decision-reference-0024,0.949072,0.840625,0.73504,0.692247,0.0,0.698986,0.64374,0.637324,1
decision-reference-0025,0.412378,0.607589,0.793541,0.380056,1.0,0.398174,0.569844,0.726197,1
decision-reference-0026,0.8739,0.263826,0.088392,0.936776,1.0,0.847518,0.905103,0.478765,1
decision-reference-0027,0.941445,0.088046,0.599903,0.530283,1.0,0.275704,0.497489,0.654697,1
decision-reference-0028,0.854637,0.858644,0.129176,0.05874,1.0,0.006161,0.675014,0.959513,1
decision-reference-0029,0.071009,0.044494,0.738406,0.987137,1.0,0.846082,0.901679,0.834684,1
decision-reference-0030,0.542926,0.150322,0.130002,0.022914,1.0,0.446309,0.434461,0.453512,0
decision-reference-0031,0.208972,0.474416,0.413366,0.594802,0.0,0.00614,0.645914,0.613373,0
decision-reference-0032,0.059956,0.938466,0.090078,0.052343,1.0,0.829681,0.008565,0.460426,0
decision-reference-0033,0.08056,0.046303,0.515191,0.362433,1.0,0.841747,0.518904,0.920968,0
