epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,128.507,2.05197,1.42956,1.13337,0.27713,0.12162,0.01761,0.00773,1.42119,0.68822,0.35042,0.000331615,0.000331615,0.000331615
2,198.159,1.6176,0.5488,0.41008,0.65746,0.13859,0.08917,0.04156,1.59721,0.441,0.4344,0.000658365,0.000658365,0.000658365
3,270.892,1.47928,0.52801,0.3532,0.30042,0.40379,0.27513,0.11754,1.39634,0.50159,0.32382,0.000978516,0.000978516,0.000978516
4,347.575,1.33083,0.54873,0.27668,0.41506,0.49301,0.39224,0.15619,1.21285,0.56837,0.25572,0.0009703,0.0009703,0.0009703
5,410.607,1.17543,0.52071,0.21049,0.65134,0.4988,0.47869,0.20877,1.16813,0.51569,0.21884,0.0009604,0.0009604,0.0009604
6,490.667,1.17613,0.51208,0.22018,0.60568,0.47136,0.42426,0.19078,1.13186,0.57084,0.27053,0.0009505,0.0009505,0.0009505
7,564.72,1.17664,0.46501,0.22868,0.54955,0.56838,0.46319,0.21819,1.08914,0.49093,0.22728,0.0009406,0.0009406,0.0009406
8,631.592,1.14635,0.53124,0.22486,0.56134,0.40418,0.37829,0.17747,1.11352,0.56689,0.24738,0.0009307,0.0009307,0.0009307
9,696.053,1.18753,0.55818,0.24734,0.54718,0.52225,0.44943,0.20372,1.09609,0.55989,0.21937,0.0009208,0.0009208,0.0009208
10,775.658,1.13538,0.49742,0.18526,0.59714,0.49046,0.4808,0.20531,1.0989,0.5003,0.18983,0.0009109,0.0009109,0.0009109
11,843.07,1.122,0.48153,0.18382,0.63436,0.5561,0.52858,0.2654,1.08448,0.49804,0.20025,0.000901,0.000901,0.000901
12,900.042,1.1052,0.47563,0.19202,0.57809,0.55096,0.50134,0.21264,1.18441,0.50106,0.23739,0.0008911,0.0008911,0.0008911
13,959.227,1.09377,0.46699,0.18629,0.65359,0.55629,0.54824,0.2678,1.0765,0.50162,0.22065,0.0008812,0.0008812,0.0008812
14,1023.42,1.10059,0.44071,0.17044,0.65086,0.5298,0.51636,0.24051,1.10931,0.48356,0.22725,0.0008713,0.0008713,0.0008713
15,1326.84,1.03041,0.42972,0.15306,0.66283,0.57507,0.55526,0.26828,1.07643,0.48205,0.23105,0.0008614,0.0008614,0.0008614
16,1412.43,1.02856,0.47396,0.1619,0.65671,0.52902,0.52295,0.25464,1.16666,0.49012,0.28919,0.0008515,0.0008515,0.0008515
17,1479.88,1.04623,0.44805,0.17788,0.70317,0.56161,0.57744,0.27353,1.09485,0.48608,0.25268,0.0008416,0.0008416,0.0008416
18,1532.01,0.99177,0.44959,0.16638,0.72109,0.61094,0.58864,0.2913,1.04471,0.46816,0.22341,0.0008317,0.0008317,0.0008317
19,1645.25,1.03307,0.4282,0.19291,0.69953,0.52926,0.55909,0.28461,1.11296,0.47208,0.26499,0.0008218,0.0008218,0.0008218
20,2144.58,1.02913,0.42004,0.16309,0.70955,0.55688,0.55874,0.28197,1.0553,0.4834,0.22543,0.0008119,0.0008119,0.0008119
21,2422.48,1.00329,0.42557,0.13862,0.67814,0.5945,0.54816,0.24538,1.07365,0.52408,0.22195,0.000802,0.000802,0.000802
22,2575.02,0.96583,0.48851,0.14782,0.72971,0.61012,0.60775,0.31247,1.06535,0.49449,0.22672,0.0007921,0.0007921,0.0007921
23,2714.69,1.00343,0.45085,0.17697,0.74957,0.56563,0.60576,0.30216,1.10526,0.50718,0.2713,0.0007822,0.0007822,0.0007822
24,3350.56,1.00909,0.45856,0.15775,0.70367,0.61723,0.5901,0.29342,1.06905,0.4696,0.24986,0.0007723,0.0007723,0.0007723
25,3445.51,0.998,0.44583,0.13923,0.72615,0.60948,0.61738,0.33714,1.03555,0.48991,0.22215,0.0007624,0.0007624,0.0007624
26,3505.03,0.99711,0.41997,0.15472,0.7915,0.60783,0.64244,0.35207,1.01399,0.46803,0.20965,0.0007525,0.0007525,0.0007525
27,3840.17,0.98086,0.41302,0.14115,0.79385,0.63016,0.64236,0.35188,1.05691,0.44909,0.22971,0.0007426,0.0007426,0.0007426
28,3908.19,0.9581,0.41927,0.13637,0.74503,0.59733,0.63182,0.3332,1.06507,0.46114,0.21837,0.0007327,0.0007327,0.0007327
29,3976.86,0.9551,0.41276,0.13323,0.75619,0.631,0.62914,0.32375,1.05166,0.45413,0.21945,0.0007228,0.0007228,0.0007228
30,4098.63,0.93608,0.41115,0.16558,0.76296,0.64178,0.64082,0.344,1.05638,0.44209,0.23687,0.0007129,0.0007129,0.0007129
31,4164.7,0.95492,0.40565,0.14262,0.77907,0.62321,0.63764,0.33481,1.0067,0.45623,0.20826,0.000703,0.000703,0.000703
32,4227.35,0.94969,0.40004,0.13464,0.7809,0.61566,0.63735,0.35146,1.00737,0.45592,0.21011,0.0006931,0.0006931,0.0006931
33,4279.06,0.93419,0.39822,0.13892,0.78635,0.6407,0.65268,0.35003,0.99359,0.46186,0.21294,0.0006832,0.0006832,0.0006832
34,4354.2,0.89402,0.41344,0.13129,0.78841,0.66493,0.65324,0.37087,1.00963,0.4544,0.21554,0.0006733,0.0006733,0.0006733
35,4444.39,0.92419,0.3969,0.14544,0.76684,0.64016,0.64057,0.35538,1.02123,0.45687,0.21416,0.0006634,0.0006634,0.0006634
36,4503.64,0.89233,0.40875,0.12027,0.81121,0.6354,0.65438,0.3517,1.01704,0.46299,0.21433,0.0006535,0.0006535,0.0006535
37,4575.22,0.89219,0.40882,0.12049,0.78353,0.65254,0.64505,0.37055,0.98547,0.4646,0.19327,0.0006436,0.0006436,0.0006436
38,4644.72,0.92409,0.39546,0.12483,0.78896,0.63477,0.64467,0.32539,1.0257,0.46136,0.21284,0.0006337,0.0006337,0.0006337
