record_type,epoch,batch,loss,train_loss,val_assoc,val_kalman,saved_best
batch,1,25,0.02,,,,
batch,1,50,0.0592,,,,
batch,1,75,0.0415,,,,
batch,1,100,0.5874,,,,
batch,1,125,0.1854,,,,
batch,1,150,0.0163,,,,
batch,1,175,0.0622,,,,
epoch,1,,,0.1605,0.0025,0.2623,1
batch,2,25,0.0212,,,,
batch,2,50,0.0092,,,,
batch,2,75,0.0452,,,,
batch,2,100,0.3944,,,,
batch,2,125,0.3068,,,,
batch,2,150,0.0208,,,,
batch,2,175,0.0308,,,,
epoch,2,,,0.149,0.0011,0.2367,1
batch,3,25,0.0844,,,,
batch,3,50,0.0252,,,,
batch,3,75,0.0151,,,,
batch,3,100,0.0033,,,,
batch,3,125,0.0691,,,,
batch,3,150,0.0088,,,,
batch,3,175,0.0662,,,,
epoch,3,,,0.1159,0.0018,0.266,0
batch,4,25,0.0088,,,,
batch,4,50,0.1156,,,,
batch,4,75,0.0509,,,,
batch,4,100,0.0138,,,,
batch,4,125,0.004,,,,
batch,4,150,0.0113,,,,
batch,4,175,0.0096,,,,
epoch,4,,,0.1387,0.0025,0.157,1
batch,5,25,0.0145,,,,
batch,5,50,0.6722,,,,
batch,5,75,0.0229,,,,
batch,5,100,0.0267,,,,
batch,5,125,0.0535,,,,
batch,5,150,0.0236,,,,
batch,5,175,0.0141,,,,
epoch,5,,,0.0573,0.0031,0.1001,1
batch,6,25,0.0517,,,,
batch,6,50,0.0088,,,,
batch,6,75,0.0062,,,,
batch,6,100,0.0059,,,,
batch,6,125,0.2692,,,,
batch,6,150,0.0138,,,,
batch,6,175,0.3536,,,,
epoch,6,,,0.0458,0.0019,0.1145,0
batch,7,25,0.0239,,,,
batch,7,50,0.0122,,,,
batch,7,75,0.0051,,,,
batch,7,100,0.0199,,,,
batch,7,125,0.0052,,,,
batch,7,150,0.01,,,,
batch,7,175,0.0042,,,,
epoch,7,,,0.0397,0.0037,0.0655,1
batch,8,25,0.0022,,,,
batch,8,50,0.0033,,,,
batch,8,75,0.0253,,,,
batch,8,100,0.0115,,,,
batch,8,125,0.0085,,,,
batch,8,150,0.019,,,,
batch,8,175,0.0129,,,,
epoch,8,,,0.0262,0.0042,0.0583,1
batch,9,25,0.0099,,,,
batch,9,50,0.0017,,,,
batch,9,75,0.0047,,,,
batch,9,100,0.0022,,,,
batch,9,125,0.0039,,,,
batch,9,150,0.0174,,,,
batch,9,175,0.0026,,,,
epoch,9,,,0.0333,0.0033,0.0522,1
batch,10,25,0.014,,,,
batch,10,50,0.0593,,,,
batch,10,75,0.0021,,,,
batch,10,100,0.0012,,,,
batch,10,125,0.0454,,,,
batch,10,150,0.0046,,,,
batch,10,175,0.0117,,,,
epoch,10,,,0.0174,0.0027,0.0481,1
